sample,chrX_non_escaping_promoter_CpG_islands_median_beta,autosome_median_beta,XIST_TPM,Classification,Secondary_Class
TCGA-G3-A5SK-01,0.03870797,0.071730926,0.000999989,LIHC,
TCGA-ER-A3EV-06,0.039185631,0.069121324,0.000999989,SKCM,
TCGA-CF-A9FF-01,0.03637771,0.059852572,0.181004817,BLCA,
TCGA-BF-A1PX-01,0.039121068,0.081901476,0.000999989,SKCM,
TCGA-DB-5279-01,0.038727246,0.078774865,0.041000917,LGG,
TCGA-LK-A4NZ-01,0.038026727,0.071803387,0.000999989,MESO,
TCGA-V1-A8WV-01,0.035627477,0.058433418,0.521016151,PRAD,
TCGA-35-5375-01,0.06876541,0.09994867,0.000999989,LUAD,
TCGA-B0-4694-01,0.037414029,0.064790707,0.121001765,KIRC,
TCGA-TQ-A7RW-01,0.03627373,0.071934658,1.071030823,LGG,
TCGA-KQ-A41P-01,0.038941173,0.060998244,0.150997859,BLCA,
TCGA-OR-A5K8-01,0.031979981,0.053405428,0.150997859,ACC,
TCGA-KC-A4BR-01,0.033479356,0.062524468,0.081001925,PRAD,
TCGA-56-7730-01,0.03822372,0.062893608,0.030999742,LUSC,
TCGA-LN-A7HZ-01,0.036250056,0.056461066,0.000999989,ESCA,
TCGA-EJ-7318-01,0.043271794,0.072877929,0.000999989,PRAD,
TCGA-O9-A75Z-01,0.047488286,0.06741001,1.271031689,KIRP,
TCGA-J9-A8CN-01,0.0372541,0.063978807,0.000999989,PRAD,
TCGA-95-7567-01,0.07161181,0.124550825,0.000999989,LUAD,
TCGA-AK-3428-01,0.037316189,0.065788459,1.500975054,KIRC,
TCGA-ES-A2HT-01,0.044053764,0.073743008,0.100998096,LIHC,
TCGA-FP-A8CX-01,0.04021149,0.069168279,0.000999989,STAD,
TCGA-KO-8411-01,0.041089009,0.062468661,0.000999989,KICH,
TCGA-CW-6088-01,0.042250369,0.070850741,0.000999989,KIRC,
TCGA-H8-A6C1-01,0.032800036,0.059215804,0.841012996,PAAD,
TCGA-34-5236-01,0.045711491,0.074938069,0.041000917,LUSC,
TCGA-CN-6988-01,0.043232391,0.06828247,1.091036979,HNSC,
TCGA-QR-A700-01,0.048585211,0.062180863,0.041000917,PCPG,
TCGA-39-5037-01,0.028727855,0.050166886,0.061001985,LUSC,
TCGA-VP-A87E-01,0.043122095,0.068646138,0.000999989,PRAD,
TCGA-KN-8435-01,0.044282231,0.073181428,0.000999989,KICH,
TCGA-CH-5740-01,0.031714132,0.058749898,0.121001765,PRAD,
TCGA-KK-A7B3-01,0.039631572,0.073199103,0.130996484,PRAD,
