sample,chrX_non_escaping_promoter_CpG_islands_mean_beta,autosome_mean_beta,XIST_TPM,Classification,Secondary_Class
TCGA-IG-A3I8-01,0.394683075,0.070004239,109.94209,ESCA,
TCGA-EW-A2FR-01,0.353709125,0.073689448,33.70054459,BRCA,
TCGA-31-1959-01,0.293433972,0.050279404,12.30096847,OV,
TCGA-A8-A07O-01,0.286265368,0.052816906,6.261029939,BRCA,
TCGA-ZP-A9D0-01,0.376946772,0.066854884,52.29133509,LIHC,
TCGA-DD-A11D-01,0.255948823,0.066558083,32.61129892,LIHC,
TCGA-NG-A4VU-01,0.123390392,0.069125026,4.18086077,UCS,
TCGA-86-8668-01,0.470271748,0.117134307,121.5916206,LUAD,
TCGA-WQ-A9G7-01,0.349555045,0.07587319,534.9276622,LIHC,
TCGA-RD-A7BW-01,0.38871744,0.085296637,74.23872355,STAD,
TCGA-KN-8437-01,0.389960653,0.072611632,27.34111171,KICH,
TCGA-A2-A0YK-01,0.452135979,0.078168143,103.5224603,BRCA,
TCGA-DH-5144-01,0.443987765,0.111528771,247.056979,LGG,
TCGA-GM-A2DI-01,0.385470939,0.101445957,66.76869788,BRCA,
TCGA-CL-4957-01,0.42066005,0.064156005,66.2523627,READ,
TCGA-D8-A27E-01,0.410643775,0.064052117,84.40169108,BRCA,
TCGA-BQ-5883-01,0.457308811,0.070399653,8.861187197,KIRP,
TCGA-K1-A6RU-01,0.432066294,0.064696504,55.02060125,SARC,
TCGA-F4-6460-01,0.487308821,0.078863619,125.6441769,COAD,
TCGA-AU-6004-01,0.419813681,0.101205079,34.04096429,COAD,
TCGA-28-2513-01,0.408571893,0.046693871,29.79090405,GBM,
TCGA-AB-2867-03,0.470657751,0.070639287,307.6614767,LAML,
TCGA-DE-A0Y3-01,0.437226613,0.068510203,53.3715868,THCA,
TCGA-W5-AA38-01,0.569962046,0.109565576,154.2471475,CHOL,
TCGA-BA-6870-01,0.445404101,0.100215799,37.15024963,HNSC,
TCGA-BP-4170-01,0.368540208,0.07250255,32.76082993,KIRC,
TCGA-OR-A5LS-01,0.181801354,0.065997169,3.150978696,ACC,
TCGA-GR-A4D9-01,0.431831123,0.081603053,127.5571536,DLBC,
TCGA-VS-A8QF-01,0.48068199,0.098192073,83.62138306,CESC,
TCGA-A8-A07L-01,0.274201484,0.067616825,78.91895786,BRCA,
TCGA-EU-5905-01,0.396590814,0.069654097,28.93011193,KIRC,
TCGA-AC-A2FF-01,0.404721801,0.093103091,43.80124584,BRCA,
TCGA-25-1320-01,0.233602148,0.041722998,31.45025915,OV,
TCGA-AR-A251-01,0.254559226,0.075888704,13.22137209,BRCA,
TCGA-DU-A6S2-01,0.412346693,0.095637914,118.2011286,LGG,
TCGA-KQ-A41S-01,0.422225164,0.072150415,154.1189017,BLCA,
TCGA-DU-5854-01,0.391052829,0.069686621,126.2815444,LGG,
TCGA-IA-A40Y-01,0.150736562,0.05564352,9.760804082,KIRP,
TCGA-TQ-A7RS-01,0.36197658,0.079709975,498.1719564,LGG,
TCGA-S3-AA12-01,0.301515239,0.059606481,257.5484416,BRCA,
TCGA-B0-5709-01,0.442397555,0.097674562,19.23150816,KIRC,
TCGA-34-5240-01,0.360471278,0.060678907,12.9205896,LUSC,
TCGA-JW-A5VL-01,0.279489775,0.062308368,20.36048468,CESC,
TCGA-2Y-A9H7-01,0.189229819,0.071920968,4.960893548,LIHC,
TCGA-X6-A8C5-01,0.421238803,0.059047032,290.944467,SARC,
TCGA-CG-5722-01,0.4660969,0.262181704,60.69055043,STAD,
TCGA-EE-A29P-06,0.374129871,0.148414904,15.49144698,SKCM,
TCGA-E8-A44K-01,0.463518644,0.0713059,226.4737452,THCA,
TCGA-AC-A2FM-01,0.434601438,0.089868138,102.4303899,BRCA,
TCGA-E2-A159-01,0.352978694,0.077906773,71.19973665,BRCA,
TCGA-23-1118-01,0.343012562,0.05457162,98.78362457,OV,
TCGA-EY-A3L3-01,0.128302171,0.06158796,7.781239579,UCEC,
TCGA-E9-A22G-01,0.243810142,0.153218138,6.02098699,BRCA,
TCGA-AA-3509-01,0.351276582,0.069792855,66.39027396,COAD,
TCGA-N8-A4PO-01,0.464207152,0.062413292,375.1698286,UCS,
TCGA-29-1774-01,0.185922689,0.038741994,4.861157912,OV,
TCGA-EM-A3OB-01,0.36962863,0.06619742,225.909323,THCA,
TCGA-DD-AADA-01,0.373694642,0.094671533,72.92289846,LIHC,
TCGA-24-0979-01,0.265985452,0.049843921,53.67208394,OV,
TCGA-BH-A0DX-01,0.333047189,0.085640791,28.2406228,BRCA,
TCGA-AO-A0JE-01,0.388898302,0.087108918,101.4834035,BRCA,
TCGA-A2-A4RW-01,0.404327812,0.090691215,168.1960483,BRCA,
TCGA-DC-5869-01,0.425832955,0.08576577,53.94061256,READ,
TCGA-D5-6929-01,0.327264166,0.100119964,29.70018475,COAD,
TCGA-N7-A59B-01,0.493481585,0.067006776,193.0325057,UCS,
TCGA-E9-A1N9-01,0.291578153,0.094229441,18.86055206,BRCA,
TCGA-DJ-A3UK-01,0.362542714,0.055687662,357.9712714,THCA,
TCGA-P5-A5EW-01,0.377471074,0.075312059,83.02074655,LGG,
TCGA-AN-A04C-01,0.489769465,0.068570933,136.958975,BRCA,
TCGA-B0-5081-01,0.403962062,0.083774111,140.2639061,KIRC,
TCGA-OR-A5KO-01,0.445207375,0.057636516,173.2366057,ACC,
TCGA-E9-A227-01,0.393215415,0.062761587,78.79870417,BRCA,
TCGA-EM-A3FP-01,0.408463959,0.073812379,17.801168,THCA,
TCGA-GN-A8LL-06,0.128841408,0.053425355,17.02048214,SKCM,
TCGA-F5-6465-01,0.405042642,0.063614424,78.64046788,READ,
